CompanyName,Ticker,ISIN,BasicIndustryName
Reliance Industries Limited,RELIANCE,INE002A01018,Refineries & Marketing
HDFC Bank Limited,HDFCBANK,INE040A01034,Private Sector Bank
Tata Consultancy Services Limited ,TCS,INE467B01029,Computers - Software & Consulting
Bharti Airtel Limited ,BHARTIAIRTL,INE397D01024,Telecom - Cellular & Fixed line services
ICICI Bank Limited ,ICICIBANK,INE090A01021,Private Sector Bank
State Bank of India ,SBIN,INE062A01020,Public Sector Bank
Infosys Limited,INFY,INE009A01021,Computers - Software & Consulting
Life Insurance Corporation of India ,LICI,INE0J1Y01017,Life Insurance
Bajaj Finance Limited ,BAJFINANCE,INE296A01032,Non Banking Financial Company (NBFC)
Hindustan Unilever Limited ,HINDUNILVR,INE030A01027,Diversified FMCG
ITC Limited ,ITC,INE154A01025,Diversified FMCG
Larsen & Toubro Limited ,LT,INE018A01030,Civil Construction
Kotak Mahindra Bank Limited ,KOTAKBANK,INE237A01028,Private Sector Bank
HCL Technologies Limited ,HCLTECH,INE860A01027,Computers - Software & Consulting
Maruti Suzuki India Limited,MARUTI,INE585B01010,Passenger Cars & Utility Vehicles
Sun Pharmaceutical Industries Limited,SUNPHARMA,INE044A01036,Pharmaceuticals
Mahindra & Mahindra Limited,M&M,INE101A01026,Passenger Cars & Utility Vehicles
Axis Bank Limited,AXISBANK,INE238A01034,Private Sector Bank
UltraTech Cement Limited,ULTRACEMCO,INE481G01011,Cement & Cement Products
Hindustan Aeronautics Limited,HAL,INE066F01020,Aerospace & Defense
