Date,CPIIN
1957-01-01,1.8096
1957-02-01,1.8198
1957-03-01,1.8202
1957-04-01,1.8495
1957-05-01,1.8477
1957-06-01,1.8979
1957-07-01,1.8927
1957-08-01,1.9218
1957-09-01,1.93
1957-10-01,1.9299
1957-11-01,1.9434
1957-12-01,1.9186
1958-01-01,1.8768
1958-02-01,1.8694
1958-03-01,1.8698
1958-04-01,1.8809
1958-05-01,1.9011
1958-06-01,1.9652
1958-07-01,2.009
1958-08-01,2.0389
1958-09-01,2.0512
1958-10-01,2.0971
1958-11-01,2.0835
1958-12-01,2.0175
1959-01-01,1.9799
1959-02-01,2.009
1959-03-01,1.9915
1959-04-01,1.9841
1959-05-01,1.9991
1959-06-01,2.0505
1959-07-01,2.0941
1959-08-01,2.1244
1959-09-01,2.1006
1959-10-01,2.1513
1959-11-01,2.1513
1959-12-01,2.1029
1960-01-01,2.065
1960-02-01,2.0766
1960-03-01,2.059
1960-04-01,2.0694
1960-05-01,2.0659
1960-06-01,2.0999
1960-07-01,2.1298
1960-08-01,2.1424
1960-09-01,2.1185
1960-10-01,2.1333
1960-11-01,2.1152
1960-12-01,2.1029
1961-01-01,2.0784
1961-02-01,2.0901
1961-03-01,2.1086
1961-04-01,2.1008
1961-05-01,2.0837
1961-06-01,2.1178
1961-07-01,2.1477
1961-08-01,2.1739
1961-09-01,2.1679
1961-10-01,2.183
1961-11-01,2.183
1961-12-01,2.1703
1962-01-01,2.1501
1962-02-01,2.1622
1962-03-01,2.1627
1962-04-01,2.1682
1962-05-01,2.1683
1962-06-01,2.2031
1962-07-01,2.2283
1962-08-01,2.2594
1962-09-01,2.2532
1962-10-01,2.2869
1962-11-01,2.2688
1962-12-01,2.2242
1963-01-01,2.1994
1963-02-01,2.1937
1963-03-01,2.2122
1963-04-01,2.222
1963-05-01,2.2173
1963-06-01,2.2704
1963-07-01,2.282
1963-08-01,2.3134
1963-09-01,2.3205
1963-10-01,2.3547
1963-11-01,2.3547
1963-12-01,2.3769
1964-01-01,2.3696
1964-02-01,2.4144
1964-03-01,2.433
1964-04-01,2.442
1964-05-01,2.471
1964-06-01,2.54
1964-07-01,2.604
1964-08-01,2.651
1964-09-01,2.693
1964-10-01,2.784
1964-11-01,2.784
1964-12-01,2.781
1965-01-01,2.791
1965-02-01,2.757
1965-03-01,2.703
1965-04-01,2.711
1965-05-01,2.707
1965-06-01,2.764
1965-07-01,2.837
1965-08-01,2.89
1965-09-01,2.917
1965-10-01,2.938
1965-11-01,2.951
1965-12-01,2.934
1966-01-01,2.925
1966-02-01,2.959
1966-03-01,2.96
1966-04-01,2.967
1966-05-01,3.041
1966-06-01,3.136
1966-07-01,3.177
1966-08-01,3.227
1966-09-01,3.236
1966-10-01,3.277
1966-11-01,3.313
1966-12-01,3.343
1967-01-01,3.333
1967-02-01,3.369
1967-03-01,3.402
1967-04-01,3.425
1967-05-01,3.464
1967-06-01,3.576
1967-07-01,3.597
1967-08-01,3.655
1967-09-01,3.627
1967-10-01,3.702
1967-11-01,3.688
1967-12-01,3.631
1968-01-01,3.722
1968-02-01,3.689
1968-03-01,3.622
1968-04-01,3.627
1968-05-01,3.566
1968-06-01,3.625
1968-07-01,3.597
1968-08-01,3.7
1968-09-01,3.712
1968-10-01,3.756
1968-11-01,3.674
1968-12-01,3.55
1969-01-01,3.516
1969-02-01,3.518
1969-03-01,3.537
1969-04-01,3.546
1969-05-01,3.557
1969-06-01,3.688
1969-07-01,3.7
1969-08-01,3.722
1969-09-01,3.712
1969-10-01,3.715
1969-11-01,3.697
1969-12-01,3.675
1970-01-01,3.664
1970-02-01,3.685
1970-03-01,3.726
1970-04-01,3.753
1970-05-01,3.762
1970-06-01,3.836
1970-07-01,3.844
1970-08-01,3.889
1970-09-01,3.896
1970-10-01,3.946
1970-11-01,3.946
1970-12-01,3.86
1971-01-01,3.807
1971-02-01,3.829
1971-03-01,3.83
1971-04-01,3.816
1971-05-01,3.784
1971-06-01,3.877
1971-07-01,3.929
1971-08-01,4.033
1971-09-01,4.062
1971-10-01,4.09
1971-11-01,4.113
1971-12-01,4.048
1972-01-01,4.013
1972-02-01,4.014
1972-03-01,4.037
1972-04-01,4.045
1972-05-01,4.029
1972-06-01,4.164
1972-07-01,4.237
1972-08-01,4.303
1972-09-01,4.313
1972-10-01,4.361
1972-11-01,4.384
1972-12-01,4.358
1973-01-01,4.345
1973-02-01,4.432
1973-03-01,4.497
1973-04-01,4.583
1973-05-01,4.688
1973-06-01,4.828
1973-07-01,5.02
1973-08-01,5.135
1973-09-01,5.144
1973-10-01,5.302
1973-11-01,5.405
1973-12-01,5.396
1974-01-01,5.46
1974-02-01,5.554
1974-03-01,5.722
1974-04-01,5.867
1974-05-01,6.046
1974-06-01,6.237
1974-07-01,6.43
1974-08-01,6.675
1974-09-01,6.926
1974-10-01,6.992
1974-11-01,6.91
1974-12-01,6.767
1975-01-01,6.746
1975-02-01,6.761
1975-03-01,6.682
1975-04-01,6.698
1975-05-01,6.723
1975-06-01,6.798
1975-07-01,6.698
1975-08-01,6.675
1975-09-01,6.616
1975-10-01,6.599
1975-11-01,6.576
1975-12-01,6.349
1976-01-01,6.168
1976-02-01,6.036
1976-03-01,5.952
1976-04-01,5.993
1976-05-01,5.966
1976-06-01,6.03
1976-07-01,6.139
1976-08-01,6.198
1976-09-01,6.261
1976-10-01,6.346
1976-11-01,6.386
1976-12-01,6.349
1977-01-01,6.352
1977-02-01,6.451
1977-03-01,6.493
1977-04-01,6.491
1977-05-01,6.54
1977-06-01,6.632
1977-07-01,6.716
1977-08-01,6.796
1977-09-01,6.863
1977-10-01,6.888
1977-11-01,6.888
1977-12-01,6.848
1978-01-01,6.723
1978-02-01,6.658
1978-03-01,6.682
1978-04-01,6.675
1978-05-01,6.643
1978-06-01,6.775
1978-07-01,6.819
1978-08-01,6.882
1978-09-01,6.966
1978-10-01,7.1
1978-11-01,7.1
1978-12-01,6.951
1979-01-01,6.871
1979-02-01,6.847
1979-03-01,6.912
1979-04-01,6.989
1979-05-01,6.972
1979-06-01,7.152
1979-07-01,7.298
1979-08-01,7.485
1979-09-01,7.527
1979-10-01,7.62
1979-11-01,7.683
1979-12-01,7.764
1980-01-01,7.678
1980-02-01,7.676
1980-03-01,7.763
1980-04-01,7.775
1980-05-01,7.858
1980-06-01,8.0
1980-07-01,8.144
1980-08-01,8.254
1980-09-01,8.335
1980-10-01,8.474
1980-11-01,8.578
1980-12-01,8.47
1981-01-01,8.502
1981-02-01,8.698
1981-03-01,8.741
1981-04-01,8.852
1981-05-01,8.905
1981-06-01,9.099
1981-07-01,9.24
1981-08-01,9.438
1981-09-01,9.453
1981-10-01,9.604
1981-11-01,9.645
1981-12-01,9.548
1982-01-01,9.496
1982-02-01,9.532
1982-03-01,9.511
1982-04-01,9.517
1982-05-01,9.501
1982-06-01,9.741
1982-07-01,9.88
1982-08-01,10.145
1982-09-01,10.139
1982-10-01,10.25
1982-11-01,10.354
1982-12-01,10.317
1983-01-01,10.24
1983-02-01,10.406
1983-03-01,10.448
1983-04-01,10.536
1983-05-01,10.717
1983-06-01,11.047
1983-07-01,11.182
1983-08-01,11.414
1983-09-01,11.486
1983-10-01,11.647
1983-11-01,11.71
1983-12-01,11.602
1984-01-01,11.651
1984-02-01,11.671
1984-03-01,11.611
1984-04-01,11.591
1984-05-01,11.558
1984-06-01,11.895
1984-07-01,12.09
1984-08-01,12.184
1984-09-01,12.213
1984-10-01,12.361
1984-11-01,12.42
1984-12-01,12.204
1985-01-01,12.166
1985-02-01,12.171
1985-03-01,12.197
1985-04-01,12.318
1985-05-01,12.337
1985-06-01,12.559
1985-07-01,12.712
1985-08-01,12.85
1985-09-01,12.832
1985-10-01,13.048
1985-11-01,13.152
1985-12-01,13.075
1986-01-01,13.012
1986-02-01,13.171
1986-03-01,13.278
1986-04-01,13.332
1986-05-01,13.388
1986-06-01,13.636
1986-07-01,13.808
1986-08-01,13.97
1986-09-01,14.017
1986-10-01,14.3
1986-11-01,14.445
1986-12-01,14.28
1987-01-01,14.235
1987-02-01,14.275
1987-03-01,14.278
1987-04-01,14.329
1987-05-01,14.457
1987-06-01,14.82
1987-07-01,14.963
1987-08-01,15.303
1987-09-01,15.445
1987-10-01,15.656
1987-11-01,15.76
1987-12-01,15.61
1988-01-01,15.579
1988-02-01,15.586
1988-03-01,15.67
1988-04-01,15.819
