Date,Price,Open,High,Low,Vol.,Change %
4/17/25,67.96,66.25,68.14,65.95,301.81K,3.20%
4/16/25,65.85,64.82,66.36,63.79,348.37K,1.82%
4/15/25,64.67,64.96,65.4,64.21,276.51K,-0.32%
4/14/25,64.88,65,65.9,64.02,282.68K,0.19%
4/11/25,64.76,63.16,65.08,62.77,411.66K,2.26%
4/10/25,63.33,65.9,66.08,62,489.76K,-3.28%
4/9/25,65.48,61.13,66.02,58.4,931.66K,4.23%
4/8/25,62.82,64.59,65.21,61.34,667.30K,-2.16%
4/7/25,64.21,64.9,67.43,62.51,881.70K,-2.09%
4/4/25,65.58,70,70.11,64.03,987.63K,-6.50%
4/3/25,70.14,72.7,73.4,69.48,751.22K,-6.42%
4/2/25,74.95,74.52,75.47,73.1,448.93K,0.62%
4/1/25,74.49,74.67,75.29,74.33,440.73K,-0.33%
3/31/25,74.74,73.76,74.81,73.18,23.45K,1.51%
3/28/25,73.63,74.03,74.2,73.22,92.71K,-0.54%
3/27/25,74.03,73.9,74.07,73.23,113.71K,0.33%
3/26/25,73.79,73.27,74.17,73.09,185.49K,1.05%
3/25/25,73.02,73.08,73.57,72.5,224.65K,0.90%
3/24/25,72.37,71.7,72.57,71.26,329.03K,1.06%
3/21/25,71.61,71.8,71.97,71.01,303.43K,0.20%
3/20/25,71.47,70.49,71.76,70.1,364.36K,1.64%
3/19/25,70.32,70.05,70.77,69.51,253.48K,0.29%
3/18/25,70.12,70.44,71.68,69.85,315.81K,-0.68%
3/17/25,70.6,70.18,71.27,70.17,224.67K,0.03%
3/14/25,70.58,70.16,70.75,69.93,238.55K,1.00%
3/13/25,69.88,70.95,71.25,69.66,331.69K,-1.51%
3/12/25,70.95,69.95,71.1,69.48,273.31K,2.00%
3/11/25,69.56,69.05,70.44,68.63,282.86K,0.40%
3/10/25,69.28,70.49,70.88,69.05,275.18K,-1.53%
3/7/25,70.36,69.43,71.4,69.3,395.50K,1.30%
3/6/25,69.46,69.43,69.9,68.74,409.42K,0.23%
3/5/25,69.3,71.02,71.18,68.33,473.00K,-2.45%
3/4/25,71.04,71.3,71.36,69.75,505.15K,-0.81%
3/3/25,71.62,73.04,73.67,71.17,413.71K,-2.13%
2/28/25,73.18,73.72,73.84,72.97,16.15K,-1.16%
2/27/25,74.04,72.7,74.26,72.49,78.87K,2.08%
2/26/25,72.53,73.16,73.34,72.39,126.28K,-0.67%
2/25/25,73.02,74.74,75.26,72.7,188.29K,-1.74%
2/24/25,74.31,73.76,74.5,73.71,263.74K,0.35%
2/21/25,74.05,76.21,76.32,73.8,325.12K,-2.63%
2/20/25,76.05,75.68,76.71,75.36,309.86K,0.50%
2/19/25,75.67,75.44,76.4,75.38,250.06K,0.32%
2/18/25,75.43,74.95,75.67,74.59,285.65K,0.67%
2/17/25,74.93,74.36,75.07,73.91,189.58K,0.25%
2/14/25,74.74,75,75.85,74.53,302.06K,-0.37%
2/13/25,75.02,74.97,75.37,74.06,331.42K,-0.21%
2/12/25,75.18,76.82,76.91,74.92,371.41K,-2.36%
2/11/25,77,75.94,77.29,75.9,349.47K,1.49%
2/10/25,75.87,74.59,76.23,74.51,271.70K,1.62%
2/7/25,74.66,74.31,75.12,74.26,290.58K,0.50%
2/6/25,74.29,74.71,75.4,74.1,378.11K,-0.43%
2/5/25,74.61,76.21,76.34,74.56,343.53K,-2.09%
2/4/25,76.2,75.4,76.66,74.15,576.12K,0.32%
2/3/25,75.96,76.79,77.34,75.04,548.33K,-1.04%
1/31/25,76.76,77.25,77.51,76.48,17.83K,-0.14%
1/30/25,76.87,76.77,77.63,76,84.79K,0.38%
1/29/25,76.58,77.62,77.7,76.31,104.85K,-1.17%
1/28/25,77.49,77.01,78.18,76.85,215.56K,0.53%
1/27/25,77.08,78.34,79,76.3,247.12K,-0.61%
1/24/25,77.55,77.17,78.08,76.92,380.75K,-0.01%
1/23/25,77.56,78.01,78.8,77.12,379.04K,-0.75%
1/22/25,78.15,78.47,78.91,77.95,347.64K,-0.32%
1/21/25,78.4,78.78,79.37,77.66,382.47K,-0.88%
1/20/25,79.1,79.72,79.99,78.43,276.32K,-2.09%
1/17/25,80.79,81.44,81.93,80.5,309.20K,-0.62%
1/16/25,81.29,82.42,82.57,80.39,453.67K,-0.90%
1/15/25,82.03,80.29,82.63,79.62,484.58K,2.64%
1/14/25,79.92,80.92,81.15,79.87,445.38K,-1.35%
1/13/25,81.01,79.76,81.68,79.76,610.62K,1.57%
1/10/25,79.76,77.26,80.75,77.03,762.62K,3.69%
1/9/25,76.92,76.18,77.27,75.68,302.92K,1.00%
1/8/25,76.16,77.3,77.89,76.04,442.51K,-1.16%
1/7/25,77.05,76.18,77.3,75.91,368.63K,0.98%
1/6/25,76.3,76.58,77.5,75.94,372.57K,-0.27%
1/3/25,76.51,75.98,76.73,75.53,314.61K,0.76%
1/2/25,75.93,74.93,76.55,74.72,365.43K,1.73%
12/31/24,74.64,74.25,74.89,73.84,190.98K,0.34%
12/30/24,74.39,73.81,74.63,73.8,23.42K,0.30%
12/27/24,74.17,73.16,74.29,73.05,82.60K,1.24%
12/26/24,73.26,73.77,74.17,72.99,54.05K,-0.43%
12/24/24,73.58,72.96,73.81,72.79,93.49K,1.31%
12/23/24,72.63,72.86,73.38,71.98,184.07K,-0.43%
12/20/24,72.94,72.57,73.29,72,240.71K,0.08%
12/19/24,72.88,72.91,73.86,72.53,302.55K,-0.69%
12/18/24,73.39,73.26,74.2,72.8,285.30K,0.27%
12/17/24,73.19,73.91,74.18,72.48,270.25K,-0.97%
12/16/24,73.91,74.6,74.6,73.7,234.42K,-0.78%
12/13/24,74.49,73.33,74.59,73.3,246.40K,1.47%
12/12/24,73.41,73.6,74,72.42,324.25K,-0.15%
12/11/24,73.52,72.15,73.75,72.15,308.96K,1.84%
12/10/24,72.19,71.94,72.72,71.53,265.90K,0.07%
12/9/24,72.14,70.92,72.65,70.92,231.21K,1.43%
12/6/24,71.12,72.12,72.19,70.85,290.06K,-1.35%
12/5/24,72.09,72.52,72.92,71.8,318.76K,-0.30%
12/4/24,72.31,73.62,74.28,72.25,340.35K,-1.78%
12/3/24,73.62,71.93,73.93,71.68,365.42K,2.49%
12/2/24,71.83,72,72.89,71.52,289.49K,-1.52%
11/29/24,72.94,73.11,73.47,72.56,23.33K,-0.46%
11/28/24,73.28,72.87,73.49,72.38,49.82K,0.62%
11/27/24,72.83,72.88,73.37,72.27,106.53K,0.03%
11/26/24,72.81,72.85,74.36,72.09,200.70K,-0.27%
11/25/24,73.01,75.38,75.38,72.84,282.16K,-2.87%
11/22/24,75.17,74.29,75.41,73.43,298.30K,1.27%
11/21/24,74.23,73.1,74.4,72.91,307.87K,1.95%
11/20/24,72.81,73.38,73.94,72.7,260.51K,-0.68%
11/19/24,73.31,73.15,73.87,72.61,354.13K,0.01%
11/18/24,73.3,70.8,73.47,70.7,333.85K,3.18%
11/15/24,71.04,72.28,72.49,70.83,307.47K,-2.09%
11/14/24,72.56,72.12,73.22,71.79,264.41K,0.39%
11/13/24,72.28,71.78,72.63,70.72,388.33K,0.54%
11/12/24,71.89,71.97,72.82,71.55,317.34K,0.08%
11/11/24,71.83,73.85,74.13,71.57,366.90K,-2.76%
11/8/24,73.87,75.55,75.61,73.44,324.16K,-2.33%
11/7/24,75.63,74.99,76.08,74.02,397.04K,0.95%
11/6/24,74.92,75.3,75.98,73.34,467.56K,-0.81%
11/5/24,75.53,75,76.24,74.9,296.48K,0.60%
11/4/24,75.08,74,75.4,73.88,299.39K,2.71%
11/1/24,73.1,74.11,74.94,72.89,336.96K,-0.08%
10/31/24,73.16,72.85,73.38,72.2,14.27K,0.84%
10/30/24,72.55,71.39,73.12,71.08,90.92K,2.01%
10/29/24,71.12,72,72.6,70.72,108.89K,-0.42%
10/28/24,71.42,72.77,73.28,71.18,317.18K,-6.09%
10/25/24,76.05,74.66,76.14,74.17,209.78K,2.25%
10/24/24,74.38,75.35,76.54,74,272.67K,-0.77%
10/23/24,74.96,75.73,76.05,74.42,288.44K,-1.42%
10/22/24,76.04,74.23,76.32,73.57,353.15K,2.36%
10/21/24,74.29,73.11,74.57,72.8,279.25K,1.68%
10/18/24,73.06,74.59,74.95,72.5,320.78K,-1.87%
10/17/24,74.45,74.47,74.92,73.26,298.43K,0.31%
10/16/24,74.22,74.71,74.93,73.42,323.37K,-0.04%
10/15/24,74.25,75.22,75.57,73.34,491.23K,-4.14%
10/14/24,77.46,78.55,78.55,74.86,343.07K,-2.00%
10/11/24,79.04,79.14,79.5,78.04,365.34K,-0.45%
10/10/24,79.4,76.76,79.72,76.72,400.89K,3.68%
10/9/24,76.58,77.49,78.02,75.15,497.00K,-0.78%
10/8/24,77.18,80.96,81.14,76.36,646.38K,-4.63%
10/7/24,80.93,78.07,81.16,77.23,496.80K,3.69%
10/4/24,78.05,77.79,79.3,77.39,562.05K,0.55%
10/3/24,77.62,74.59,77.99,74.31,643.31K,5.03%
10/2/24,73.9,74.47,76.14,73.59,541.74K,0.46%
10/1/24,73.56,71.85,75.45,69.91,869.15K,2.49%
9/30/24,71.77,72.5,73.17,71.26,19.52K,-0.29%
9/27/24,71.98,71.42,72.45,70.91,99.35K,0.53%
9/26/24,71.6,73.4,73.8,70.72,162.22K,-2.53%
9/25/24,73.46,75.18,75.35,73.06,283.66K,-2.27%
9/24/24,75.17,74.13,75.87,73.95,238.47K,1.72%
9/23/24,73.9,74.71,75.17,73.1,273.95K,-0.79%
9/20/24,74.49,74.77,75,74,221.09K,-0.52%
9/19/24,74.88,73.13,75.18,72.91,299.01K,1.67%
9/18/24,73.65,73.69,74.1,72.31,290.81K,-0.07%
9/17/24,73.7,72.91,74.28,72.17,274.59K,1.31%
9/16/24,72.75,72.09,73.39,71.52,232.18K,1.59%
9/13/24,71.61,72.3,73.24,71.46,260.64K,-0.50%
9/12/24,71.97,70.6,72.87,70.59,361.87K,1.93%
9/11/24,70.61,69.68,71.09,69,354.35K,2.05%
9/10/24,69.19,71.92,72.28,68.68,395.71K,-3.69%
9/9/24,71.84,71.66,72.21,70.65,314.52K,1.10%
9/6/24,71.06,72.81,73.53,70.61,374.05K,-2.24%
9/5/24,72.69,72.76,74.2,72.37,394.47K,-0.01%
9/4/24,72.7,73.67,74.8,72.35,523.50K,-1.42%
9/3/24,73.75,77.16,77.55,73.51,568.05K,-4.86%
