Date,GDPIN
2011-04-01,2043496
2011-07-01,2029469
2011-10-01,2244852
2012-01-01,2418511
2012-04-01,2313203
2012-07-01,2356953
2012-10-01,2548378
2013-01-01,2725479
2013-04-01,2565374
2013-07-01,2686203
2013-10-01,2921070
2014-01-01,3060874
2014-04-01,2914393
2014-07-01,3053982
2014-10-01,3184917
2015-01-01,3314667
2015-04-01,3243543
2015-07-01,3355884
2015-10-01,3476632
2016-01-01,3695814
2016-04-01,3639774
2016-07-01,3754117
2016-10-01,3875007
2017-01-01,4122771
2017-04-01,4008916
2017-07-01,4157246
2017-10-01,4339194
2018-01-01,4584686
2018-04-01,4569369
2018-07-01,4656017
2018-10-01,4872998
2019-01-01,4801284
2019-04-01,4951378
2019-07-01,4868137
2019-10-01,5135344
2020-01-01,5148733
2020-04-01,3893942
2020-07-01,4728282
2020-10-01,5474172
2021-01-01,5757701
2021-04-01,5178170
2021-07-01,5627314
2021-10-01,6268323
2022-01-01,6523591
2022-04-01,6499862
2022-07-01,6458024
2022-10-01,6827506
2023-01-01,7105080
2023-04-01,7211628
2023-07-01,7240697
2023-10-01,7709666
2024-01-01,7960966
2024-04-01,7907700
2024-07-01,7838966
2024-10-01,8473867
