Date,MOS_GDP.GDP_REAL.Q.IN
2011-04-01,2102863
2011-07-01,2042870
2011-10-01,2225135
2012-01-01,2365462
2012-04-01,2205224
2012-07-01,2195946
2012-10-01,2344767
2013-01-01,2467082
2013-04-01,2347396
2013-07-01,2357079
2013-10-01,2497997
2014-01-01,2598898
2014-04-01,2535750
2014-07-01,2562242
2014-10-01,2645947
2015-01-01,2783733
2015-04-01,2728278
2015-07-01,2768087
2015-10-01,2836388
2016-01-01,3036738
2016-04-01,2965088
2016-07-01,3035756
2016-10-01,3079622
2017-01-01,3227728
2017-04-01,3146336
2017-07-01,3197196
2017-10-01,3284992
2018-01-01,3516058
2018-04-01,3382301
2018-07-01,3403644
2018-10-01,3489761
2019-01-01,3717210
2019-04-01,3554642
2019-07-01,3549946
2019-10-01,3603375
2020-01-01,3826679
2020-04-01,2732306
2020-07-01,3342656
2020-10-01,3667338
2021-01-01,3952568
2021-04-01,3350730
2021-07-01,3672438
2021-10-01,3870108
2022-01-01,4128570
2022-04-01,3802769
2022-07-01,3891251
2022-10-01,4057578
2023-01-01,4413316
2023-04-01,4170114
2023-07-01,4254806
2023-10-01,4443638
2024-01-01,4782032
2024-04-01,4441986
2024-07-01,4492230
2024-10-01,4716992
