Date,IPIN
4/1/12,99.3
5/1/12,105
6/1/12,102.3
7/1/12,101.5
8/1/12,99.9
9/1/12,99
10/1/12,103.7
11/1/12,98.3
12/1/12,107.1
1/1/13,107.2
2/1/13,101.4
3/1/13,115.2
4/1/13,102.6
5/1/13,106
6/1/13,101.3
7/1/13,104.7
8/1/13,104.3
9/1/13,105.7
10/1/13,105.7
11/1/13,101.9
12/1/13,110.9
1/1/14,112.3
2/1/14,106.7
3/1/14,118.5
4/1/14,106.6
5/1/14,111
6/1/14,109.7
7/1/14,110.4
8/1/14,108
9/1/14,110.2
10/1/14,106
11/1/14,109.4
12/1/14,115.3
1/1/15,114.3
2/1/15,109.9
3/1/15,121.3
4/1/15,107.3
5/1/15,113
6/1/15,110.8
7/1/15,111.8
8/1/15,112
9/1/15,112.6
10/1/15,115.5
11/1/15,110.3
12/1/15,118.9
1/1/16,118.9
2/1/16,117.8
3/1/16,127.6
4/1/16,113.7
5/1/16,121.3
6/1/16,119.7
7/1/16,116.8
8/1/16,116.5
9/1/16,118.2
10/1/16,120.3
11/1/16,115.9
12/1/16,121.7
1/1/17,123.1
2/1/17,119.2
3/1/17,133.2
4/1/17,117.3
5/1/17,124.8
6/1/17,119.3
7/1/17,118
8/1/17,122.1
9/1/17,123.1
10/1/17,122.5
11/1/17,125.8
12/1/17,130.6
1/1/18,132.3
2/1/18,127.4
3/1/18,140.3
4/1/18,122.6
5/1/18,129.6
6/1/18,127.7
7/1/18,125.7
8/1/18,128
9/1/18,128.8
10/1/18,132.8
11/1/18,126.1
12/1/18,133.9
1/1/19,134.4
2/1/19,127.6
3/1/19,144.1
4/1/19,126.5
5/1/19,135.4
6/1/19,129.3
7/1/19,131.8
8/1/19,126.2
9/1/19,122.9
10/1/19,124
11/1/19,128.8
12/1/19,134.5
1/1/20,137.4
2/1/20,134.2
3/1/20,117.2
4/1/20,54
5/1/20,90.2
6/1/20,107.9
7/1/20,117.9
8/1/20,117.2
9/1/20,124.1
10/1/20,129.6
11/1/20,126.7
12/1/20,137.4
1/1/21,136.6
2/1/21,129.9
3/1/21,145.6
4/1/21,126.1
5/1/21,115.1
6/1/21,122.8
7/1/21,131.5
8/1/21,132.4
9/1/21,129.5
10/1/21,135
11/1/21,128
12/1/21,138.8
1/1/22,139.3
2/1/22,131.4
3/1/22,148.8
4/1/22,134.5
5/1/22,137.8
6/1/22,138.3
7/1/22,134.4
8/1/22,131.5
9/1/22,133.8
10/1/22,129.5
11/1/22,137.7
12/1/22,145.9
1/1/23,147.4
2/1/23,139.3
3/1/23,151.7
4/1/23,140.7
5/1/23,145.6
6/1/23,143.9
7/1/23,142.7
8/1/23,145.8
9/1/23,142.3
10/1/23,144.9
11/1/23,141.1
12/1/23,152.3
1/1/24,153.6
2/1/24,147.1
3/1/24,160
4/1/24,148
5/1/24,154.7
6/1/24,151
7/1/24,149.8
8/1/24,145.8
9/1/24,146.9
10/1/24,150.3
11/1/24,148.1
12/1/24,157.7
1/1/25,161.6
2/1/25,151.3
