Date,Price,Open,High,Low,Change %
4/17/25,6.473,6.492,6.493,6.472,1.30%
4/16/25,6.39,6.416,6.417,6.389,-0.31%
4/15/25,6.41,6.407,6.423,6.407,-0.47%
4/11/25,6.44,6.453,6.453,6.423,0.00%
4/9/25,6.44,6.503,6.525,6.432,-0.46%
4/8/25,6.47,6.501,6.501,6.47,-0.15%
4/7/25,6.48,6.469,6.492,6.461,0.31%
4/4/25,6.46,6.497,6.497,6.464,-0.62%
4/3/25,6.5,6.469,6.501,6.461,0.31%
4/2/25,6.48,6.545,6.545,6.482,-1.52%
3/28/25,6.58,6.598,6.608,6.577,-0.15%
3/27/25,6.59,6.618,6.618,6.582,-0.15%
3/26/25,6.6,6.643,6.643,6.598,-0.45%
3/25/25,6.63,6.646,6.646,6.621,0.15%
3/24/25,6.62,6.643,6.643,6.626,0.00%
3/21/25,6.62,6.645,6.645,6.617,-0.30%
3/20/25,6.64,6.655,6.658,6.629,-0.30%
3/19/25,6.66,6.659,6.665,6.656,-0.15%
3/18/25,6.67,6.698,6.698,6.669,-0.30%
3/17/25,6.69,6.702,6.702,6.687,0.00%
3/13/25,6.69,6.696,6.698,6.68,0.15%
3/12/25,6.68,6.703,6.703,6.678,-0.15%
3/11/25,6.69,6.717,6.717,6.687,-0.15%
3/10/25,6.7,6.714,6.714,6.687,0.30%
3/7/25,6.68,6.682,6.69,6.682,0.00%
3/6/25,6.68,6.686,6.694,6.68,-0.45%
3/5/25,6.71,6.757,6.757,6.709,-0.45%
3/4/25,6.74,6.736,6.745,6.721,0.15%
3/3/25,6.73,6.789,6.789,6.729,0.15%
2/28/25,6.72,6.709,6.731,6.706,0.15%
2/27/25,6.71,6.7,6.712,6.699,0.06%
2/25/25,6.706,6.699,6.709,6.695,0.09%
2/24/25,6.7,6.696,6.707,6.693,-0.12%
2/21/25,6.708,6.703,6.714,6.701,0.07%
2/20/25,6.703,6.682,6.705,6.68,0.31%
2/18/25,6.682,6.7,6.7,6.68,-0.15%
2/17/25,6.692,6.694,6.694,6.687,-0.19%
2/14/25,6.705,6.709,6.71,6.699,-0.10%
2/13/25,6.712,6.723,6.723,6.699,0.22%
2/12/25,6.697,6.71,6.71,6.693,0.00%
2/11/25,6.697,6.688,6.699,6.685,-0.24%
2/10/25,6.713,6.717,6.728,6.709,0.21%
2/7/25,6.699,6.668,6.71,6.652,0.63%
2/6/25,6.657,6.649,6.659,6.649,-0.11%
2/5/25,6.664,6.674,6.674,6.653,-0.12%
2/4/25,6.672,6.68,6.68,6.666,0.03%
2/3/25,6.67,6.703,6.709,6.659,-0.36%
1/31/25,6.694,6.696,6.7,6.68,0.24%
1/30/25,6.678,6.701,6.701,6.675,-0.07%
1/29/25,6.683,6.7,6.702,6.673,0.03%
1/28/25,6.681,6.646,6.69,6.631,0.09%
1/27/25,6.675,6.672,6.681,6.666,-0.67%
1/24/25,6.72,6.717,6.726,6.709,-0.24%
1/23/25,6.736,6.738,6.738,6.718,0.25%
1/22/25,6.719,6.745,6.745,6.716,-0.22%
1/21/25,6.734,6.754,6.754,6.729,-0.43%
1/20/25,6.763,6.78,6.78,6.758,-0.16%
1/17/25,6.774,6.745,6.78,6.743,0.30%
1/16/25,6.754,6.788,6.788,6.749,-0.87%
1/15/25,6.813,6.838,6.838,6.804,-0.23%
1/14/25,6.829,6.852,6.869,6.821,-0.20%
1/13/25,6.843,6.795,6.852,6.792,1.09%
1/10/25,6.769,6.773,6.773,6.757,0.07%
1/9/25,6.764,6.773,6.782,6.762,-0.04%
1/8/25,6.767,6.76,6.77,6.739,0.31%
1/7/25,6.746,6.755,6.757,6.731,-0.25%
1/6/25,6.763,6.788,6.79,6.75,-0.24%
1/3/25,6.779,6.8,6.8,6.778,-0.12%
1/2/25,6.787,6.801,6.801,6.782,0.12%
1/1/25,6.779,6.774,6.782,6.773,0.30%
12/31/24,6.759,6.767,6.767,6.758,-0.24%
12/30/24,6.775,6.785,6.789,6.772,-0.18%
12/27/24,6.787,6.781,6.807,6.776,0.04%
12/26/24,6.784,6.781,6.785,6.777,0.12%
12/24/24,6.776,6.789,6.789,6.773,0.00%
12/23/24,6.776,6.785,6.785,6.771,-0.22%
12/20/24,6.791,6.799,6.799,6.784,0.06%
12/19/24,6.787,6.787,6.794,6.775,0.53%
12/18/24,6.751,6.76,6.76,6.747,-0.12%
12/17/24,6.759,6.753,6.761,6.745,0.27%
12/16/24,6.741,6.734,6.744,6.727,0.18%
12/13/24,6.729,6.783,6.783,6.725,-0.10%
12/12/24,6.736,6.728,6.741,6.726,0.27%
12/11/24,6.718,6.711,6.721,6.706,0.19%
12/10/24,6.705,6.715,6.715,6.692,-0.18%
12/9/24,6.717,6.753,6.753,6.715,-0.34%
12/6/24,6.74,6.687,6.751,6.668,0.90%
12/5/24,6.68,6.696,6.696,6.677,-0.09%
12/4/24,6.686,6.725,6.725,6.68,-0.42%
12/3/24,6.714,6.76,6.76,6.71,0.06%
12/2/24,6.71,6.802,6.802,6.707,-0.61%
11/29/24,6.751,6.807,6.807,6.739,-0.79%
11/28/24,6.805,6.825,6.825,6.799,-0.10%
11/27/24,6.812,6.828,6.828,6.811,-0.22%
11/26/24,6.827,6.839,6.839,6.809,0.07%
11/25/24,6.822,6.841,6.841,6.817,-0.41%
11/22/24,6.85,6.852,6.863,6.842,0.28%
11/21/24,6.831,6.822,6.836,6.817,0.29%
11/19/24,6.811,6.818,6.818,6.806,-0.15%
11/18/24,6.821,6.842,6.842,6.817,-0.09%
11/14/24,6.827,6.822,6.831,6.813,0.34%
11/13/24,6.804,6.809,6.812,6.8,0.13%
11/12/24,6.795,6.793,6.807,6.786,0.15%
11/11/24,6.785,6.786,6.79,6.778,0.16%
11/8/24,6.774,6.781,6.787,6.767,-0.32%
11/7/24,6.796,6.794,6.8,6.785,-0.03%
11/6/24,6.798,6.838,6.838,6.783,-0.01%
11/5/24,6.799,6.802,6.805,6.793,0.03%
11/4/24,6.797,6.831,6.831,6.795,-0.64%
10/31/24,6.841,6.841,6.847,6.832,0.21%
10/30/24,6.827,6.849,6.849,6.826,-0.29%
10/29/24,6.847,6.875,6.875,6.837,-0.20%
10/28/24,6.861,6.875,6.875,6.856,0.23%
10/25/24,6.845,6.836,6.849,6.818,0.34%
10/24/24,6.822,6.843,6.843,6.808,0.06%
10/23/24,6.818,6.831,6.833,6.811,-0.20%
10/22/24,6.832,6.859,6.859,6.818,-0.07%
10/21/24,6.837,6.831,6.842,6.804,0.41%
10/18/24,6.809,6.794,6.821,6.789,0.37%
10/17/24,6.784,6.775,6.787,6.77,0.16%
10/16/24,6.773,6.762,6.775,6.758,0.06%
10/15/24,6.769,6.794,6.794,6.765,-0.19%
10/14/24,6.782,6.788,6.788,6.767,-0.09%
10/11/24,6.788,6.77,6.798,6.767,0.18%
10/10/24,6.776,6.805,6.805,6.75,0.15%
10/9/24,6.766,6.818,6.818,6.741,-0.59%
10/8/24,6.806,6.845,6.845,6.802,-0.58%
10/7/24,6.846,6.846,6.853,6.813,0.25%
10/4/24,6.829,6.793,6.838,6.792,0.77%
10/3/24,6.777,6.751,6.779,6.744,0.67%
10/1/24,6.732,6.759,6.759,6.73,-0.27%
9/30/24,6.75,6.76,6.76,6.744,-0.13%
9/27/24,6.759,6.747,6.767,6.723,0.61%
9/26/24,6.718,6.74,6.74,6.706,-0.30%
9/25/24,6.738,6.753,6.753,6.735,-0.34%
9/24/24,6.761,6.768,6.77,6.754,-0.09%
9/23/24,6.767,6.775,6.775,6.759,0.09%
9/20/24,6.761,6.768,6.769,6.747,0.04%
9/19/24,6.758,6.793,6.793,6.736,-0.31%
9/17/24,6.779,6.775,6.781,6.753,0.25%
9/16/24,6.762,6.797,6.797,6.759,-0.44%
9/13/24,6.792,6.819,6.819,6.784,-0.28%
9/12/24,6.811,6.835,6.835,6.806,-0.28%
9/11/24,6.83,6.84,6.841,6.827,-0.31%
9/10/24,6.851,6.855,6.855,6.85,-0.04%
9/9/24,6.854,6.861,6.861,6.852,0.00%
9/6/24,6.854,6.852,6.855,6.846,-0.01%
9/5/24,6.855,6.853,6.856,6.851,-0.06%
9/4/24,6.859,6.861,6.863,6.857,-0.16%
9/3/24,6.87,6.885,6.885,6.869,-0.09%
9/2/24,6.876,6.877,6.878,6.865,0.19%
8/30/24,6.863,6.872,6.872,6.862,-0.01%
8/29/24,6.864,6.87,6.87,6.862,0.04%
8/28/24,6.861,6.858,6.866,6.856,0.00%
8/27/24,6.861,6.863,6.863,6.854,0.15%
8/26/24,6.851,6.854,6.854,6.848,-0.12%
8/23/24,6.859,6.855,6.862,6.849,0.10%
8/22/24,6.852,6.861,6.861,6.843,-0.01%
8/21/24,6.853,6.849,6.859,6.846,-0.04%
8/20/24,6.856,6.874,6.874,6.85,-0.12%
8/19/24,6.864,6.871,6.871,6.86,-0.04%
8/16/24,6.867,6.88,6.88,6.864,0.13%
8/14/24,6.858,6.871,6.874,6.857,-0.32%
8/13/24,6.88,6.869,6.887,6.869,0.01%
8/12/24,6.879,6.881,6.881,6.87,-0.01%
8/9/24,6.88,6.887,6.889,6.878,0.04%
8/8/24,6.877,6.862,6.885,6.859,0.22%
8/7/24,6.862,6.885,6.885,6.859,-0.15%
8/6/24,6.872,6.87,6.88,6.867,0.17%
8/5/24,6.86,6.862,6.865,6.844,-0.58%
8/2/24,6.9,6.909,6.909,6.894,-0.23%
8/1/24,6.916,6.912,6.919,6.909,-0.12%
7/31/24,6.924,6.932,6.939,6.918,-0.10%
7/30/24,6.931,6.926,6.934,6.91,0.17%
7/29/24,6.919,6.942,6.942,6.913,-0.30%
7/26/24,6.94,6.962,6.962,6.927,-0.17%
7/25/24,6.952,6.974,6.974,6.952,-0.17%
7/24/24,6.964,6.977,6.977,6.96,-0.09%
7/23/24,6.97,6.972,6.987,6.952,0.04%
7/22/24,6.967,6.982,6.982,6.966,0.03%
7/19/24,6.965,6.976,6.976,6.962,-0.01%
7/18/24,6.966,6.97,6.97,6.959,0.00%
7/16/24,6.966,6.977,6.977,6.963,-0.21%
