Date,MBIN
2012-11-01,2.9
2012-12-01,4.6
2013-01-01,4.2
2013-02-01,7.5
2013-03-01,6.2
2013-04-01,7.6
2013-05-01,6.0
2013-06-01,7.1
2013-07-01,6.6
2013-08-01,7.4
2013-09-01,7.7
2013-10-01,8.0
2013-11-01,12.1
2013-12-01,10.7
2014-01-01,9.1
2014-02-01,8.8
2014-03-01,14.4
2014-04-01,8.9
2014-05-01,11.9
2014-06-01,9.7
2014-07-01,11.3
2014-08-01,9.6
2014-09-01,9.6
2014-10-01,10.0
2014-11-01,8.2
2014-12-01,9.4
2015-01-01,10.2
2015-02-01,11.2
2015-03-01,11.3
2015-04-01,11.4
2015-05-01,11.3
2015-06-01,10.2
2015-07-01,10.8
2015-08-01,11.0
2015-09-01,12.3
2015-10-01,11.2
2015-11-01,13.2
2015-12-01,14.3
2016-01-01,12.1
2016-02-01,14.2
2016-03-01,13.1
2016-04-01,13.7
2016-05-01,12.5
2016-06-01,14.3
2016-07-01,15.2
2016-08-01,15.1
2016-09-01,13.9
2016-10-01,16.0
2016-11-01,-16.8
2016-12-01,-29.6
2017-01-01,-26.9
2017-02-01,-22.2
2017-03-01,-12.9
2017-04-01,-10.6
2017-05-01,-8.7
2017-06-01,-7.1
2017-07-01,-6.2
2017-08-01,-5.1
2017-09-01,-4.0
2017-10-01,-5.1
2017-11-01,30.4
2017-12-01,55.9
2018-01-01,50.3
2018-02-01,39.3
2018-03-01,27.3
2018-04-01,27.0
2018-05-01,24.9
2018-06-01,21.1
2018-07-01,20.6
2018-08-01,19.0
2018-09-01,18.7
2018-10-01,17.4
2018-11-01,18.9
2018-12-01,17.0
2019-01-01,16.2
2019-02-01,16.5
2019-03-01,14.5
2019-04-01,13.0
2019-05-01,13.8
2019-06-01,13.5
2019-07-01,12.9
2019-08-01,13.1
2019-09-01,12.0
2019-10-01,15.3
2019-11-01,12.4
2019-12-01,10.2
2020-01-01,12.3
2020-02-01,11.3
2020-03-01,9.4
2020-04-01,9.1
2020-05-01,11.8
2020-06-01,11.8
2020-07-01,14.9
2020-08-01,14.7
2020-09-01,14.4
2020-10-01,12.8
2020-11-01,15.3
2020-12-01,14.9
2021-01-01,14.5
2021-02-01,13.6
2021-03-01,18.8
2021-04-01,18.7
2021-05-01,18.3
2021-06-01,16.9
2021-07-01,16.8
2021-08-01,15.2
2021-09-01,14.7
2021-10-01,14.1
2021-11-01,12.8
2021-12-01,14.7
2022-01-01,13.5
2022-02-01,13.9
2022-03-01,13.0
2022-04-01,13.2
2022-05-01,10.4
2022-06-01,10.9
2022-07-01,11.3
2022-08-01,10.3
2022-09-01,12.9
2022-10-01,11.2
2022-11-01,11.0
2022-12-01,10.3
2023-01-01,10.8
2023-02-01,10.5
2023-03-01,7.8
2023-04-01,10.2
2023-05-01,8.1
2023-06-01,6.5
2023-07-01,5.4
2023-08-01,9.8
2023-09-01,6.4
2023-10-01,5.5
2023-11-01,6.7
2023-12-01,6.0
2024-01-01,6.3
2024-02-01,6.1
2024-03-01,5.6
2024-04-01,5.8
2024-05-01,5.8
2024-06-01,7.4
2024-07-01,7.2
2024-10-01,9.0
2024-11-01,7.1
