Date,RPRCIN
1/1/11,1236604
4/1/11,1236604
7/1/11,1127293
10/1/11,1264940
1/1/12,1281610
4/1/12,1225157
7/1/12,1224959
10/1/12,1377374
1/1/13,1351602
4/1/13,1321379
7/1/13,1299203
10/1/13,1473208
1/1/14,1463539
4/1/14,1417165
7/1/14,1412804
10/1/14,1504576
1/1/15,1578112
4/1/15,1517933
7/1/15,1513130
10/1/15,1633448
1/1/16,1716907
4/1/16,1623633
7/1/16,1658457
10/1/16,1816561
1/1/17,1801585
4/1/17,1763225
7/1/17,1738953
10/1/17,1892042
1/1/18,1936508
4/1/18,1874398
7/1/18,1888258
10/1/18,2033403
1/1/19,2054385
4/1/19,2008913
7/1/19,2004358
10/1/19,2155033
1/1/20,2087914
4/1/20,1548749
7/1/20,1855897
10/1/20,2187535
1/1/21,2227328
4/1/21,1828296
7/1/21,2109196
10/1/21,2429098
1/1/22,2365984
4/1/22,2182105
7/1/22,2298644
10/1/22,2487581
1/1/23,2416613
4/1/23,2343903
7/1/23,2366539
10/1/23,2629135
1/1/24,2567198
4/1/24,2524318
7/1/24,2505665
10/1/24,2810687
