Date,Real_GDP_Growth
1/1/12,12.488
4/1/12,4.868
7/1/12,7.493
10/1/12,5.376
1/1/13,4.296
4/1/13,6.447
7/1/13,7.338
10/1/13,6.535
1/1/14,5.343
4/1/14,8.024
7/1/14,8.704
10/1/14,5.923
1/1/15,7.112
4/1/15,7.593
7/1/15,8.034
10/1/15,7.197
1/1/16,9.089
4/1/16,8.68
7/1/16,9.67
10/1/16,8.575
1/1/17,6.289
4/1/17,6.113
7/1/17,5.318
10/1/17,6.669
1/1/18,8.933
4/1/18,7.5
7/1/18,6.457
10/1/18,6.233
1/1/19,5.721
4/1/19,5.095
7/1/19,4.298
10/1/19,3.256
1/1/20,2.945
4/1/20,-23.134
7/1/20,-5.839
10/1/20,1.775
1/1/21,3.29
4/1/21,22.634
7/1/21,9.866
10/1/21,5.529
1/1/22,4.453
4/1/22,13.491
7/1/22,5.958
10/1/22,4.844
1/1/23,6.897
4/1/23,9.66
7/1/23,9.343
10/1/23,9.515
1/1/24,8.355
4/1/24,6.52
7/1/24,5.58
10/1/24,6.152
