Date,RBI_RATES.POLIR.D.IN
12/27/13,7.75
1/17/14,7.75
2/7/14,8
2/28/14,8
3/21/14,8
4/11/14,8
5/2/14,8
5/23/14,8
6/13/14,8
7/4/14,8
7/25/14,8
8/15/14,8
9/5/14,8
9/26/14,8
10/17/14,8
11/7/14,8
11/28/14,8
12/5/14,8
12/12/14,8
12/19/14,8
12/26/14,8
1/2/15,8
1/9/15,8
1/16/15,7.75
1/23/15,7.75
1/30/15,7.75
2/6/15,7.75
2/13/15,7.75
2/20/15,7.75
2/27/15,7.75
3/6/15,7.5
3/13/15,7.5
3/20/15,7.5
3/27/15,7.5
4/3/15,7.5
4/10/15,7.5
4/17/15,7.5
4/24/15,7.5
5/1/15,7.5
5/8/15,7.5
5/15/15,7.5
5/22/15,7.5
5/29/15,7.5
6/5/15,7.25
6/12/15,7.25
6/19/15,7.25
6/26/15,7.25
7/3/15,7.25
7/10/15,7.25
7/17/15,7.25
7/24/15,7.25
7/31/15,7.25
8/7/15,7.25
8/14/15,7.25
8/21/15,7.25
8/28/15,7.25
9/4/15,7.25
9/11/15,7.25
9/18/15,7.25
9/25/15,7.25
10/2/15,6.75
10/9/15,6.75
10/16/15,6.75
10/23/15,6.75
10/30/15,6.75
11/6/15,6.75
11/13/15,6.75
11/20/15,6.75
11/27/15,6.75
12/4/15,6.75
12/11/15,6.75
12/18/15,6.75
12/25/15,6.75
1/1/16,6.75
1/8/16,6.75
1/15/16,6.75
1/22/16,6.75
1/29/16,6.75
2/5/16,6.75
2/12/16,6.75
2/19/16,6.75
2/26/16,6.75
3/4/16,6.75
3/11/16,6.75
3/18/16,6.75
3/25/16,6.75
4/1/16,6.75
4/8/16,6.5
4/15/16,6.5
4/22/16,6.5
4/29/16,6.5
5/6/16,6.5
5/13/16,6.5
5/20/16,6.5
5/27/16,6.5
6/3/16,6.5
6/10/16,6.5
6/17/16,6.5
6/24/16,6.5
7/1/16,6.5
7/8/16,6.5
7/15/16,6.5
7/22/16,6.5
7/29/16,6.5
8/5/16,6.5
8/12/16,6.5
8/19/16,6.5
8/26/16,6.5
9/2/16,6.5
9/9/16,6.5
9/16/16,6.5
9/23/16,6.5
9/30/16,6.5
10/7/16,6.25
10/14/16,6.25
10/21/16,6.25
10/28/16,6.25
11/4/16,6.25
11/11/16,6.25
11/18/16,6.25
11/25/16,6.25
12/2/16,6.25
12/9/16,6.25
12/16/16,6.25
12/23/16,6.25
12/30/16,6.25
1/6/17,6.25
1/13/17,6.25
1/20/17,6.25
1/27/17,6.25
2/3/17,6.25
2/10/17,6.25
2/17/17,6.25
2/24/17,6.25
3/3/17,6.25
3/10/17,6.25
3/17/17,6.25
3/24/17,6.25
3/31/17,6.25
4/7/17,6.25
4/14/17,6.25
4/21/17,6.25
4/28/17,6.25
5/5/17,6.25
5/12/17,6.25
5/19/17,6.25
5/26/17,6.25
6/2/17,6.25
6/9/17,6.25
6/16/17,6.25
6/23/17,6.25
6/30/17,6.25
7/7/17,6.25
7/14/17,6.25
7/21/17,6.25
7/28/17,6.25
8/4/17,6
8/11/17,6
8/18/17,6
8/25/17,6
9/1/17,6
9/8/17,6
9/15/17,6
9/22/17,6
9/29/17,6
10/6/17,6
10/13/17,6
10/20/17,6
10/27/17,6
11/3/17,6
11/10/17,6
11/17/17,6
11/24/17,6
12/1/17,6
12/8/17,6
12/15/17,6
12/22/17,6
12/29/17,6
1/5/18,6
1/12/18,6
1/19/18,6
1/26/18,6
2/2/18,6
2/9/18,6
2/16/18,6
2/23/18,6
3/2/18,6
3/9/18,6
3/16/18,6
3/23/18,6
3/30/18,6
4/6/18,6
4/13/18,6
4/20/18,6
4/27/18,6
5/4/18,6
5/11/18,6
5/18/18,6
5/25/18,6
6/1/18,6
6/8/18,6.25
6/15/18,6.25
6/22/18,6.25
6/29/18,6.25
7/6/18,6.25
7/13/18,6.25
7/20/18,6.25
7/27/18,6.25
8/3/18,6.5
8/10/18,6.5
8/17/18,6.5
8/24/18,6.5
8/31/18,6.5
9/7/18,6.5
9/14/18,6.5
9/21/18,6.5
9/28/18,6.5
10/5/18,6.5
10/12/18,6.5
10/19/18,6.5
10/26/18,6.5
11/2/18,6.5
11/9/18,6.5
11/16/18,6.5
11/23/18,6.5
11/30/18,6.5
12/7/18,6.5
12/14/18,6.5
12/21/18,6.5
12/28/18,6.5
1/4/19,6.5
1/11/19,6.5
1/18/19,6.5
1/25/19,6.5
2/1/19,6.5
2/8/19,6.25
2/15/19,6.25
2/22/19,6.25
3/1/19,6.25
3/8/19,6.25
3/15/19,6.25
3/22/19,6.25
3/29/19,6.25
4/5/19,6
4/12/19,6
4/19/19,6
4/26/19,6
5/3/19,6
5/10/19,6
5/17/19,6
5/24/19,6
5/31/19,6
6/7/19,5.75
6/14/19,5.75
6/21/19,5.75
6/28/19,5.75
7/5/19,5.75
7/12/19,5.75
7/19/19,5.75
7/26/19,5.75
8/2/19,5.75
8/9/19,5.4
8/16/19,5.4
8/23/19,5.4
8/30/19,5.4
9/6/19,5.4
9/13/19,5.4
9/20/19,5.4
9/27/19,5.4
10/4/19,5.15
10/11/19,5.15
10/18/19,5.15
10/25/19,5.15
11/1/19,5.15
11/8/19,5.15
11/15/19,5.15
11/22/19,5.15
11/29/19,5.15
12/6/19,5.15
12/13/19,5.15
12/20/19,5.15
12/27/19,5.15
1/3/20,5.15
1/10/20,5.15
1/17/20,5.15
1/24/20,5.15
1/31/20,5.15
2/7/20,5.15
2/14/20,5.15
2/21/20,5.15
2/28/20,5.15
3/6/20,5.15
3/13/20,5.15
3/20/20,5.15
3/27/20,4.4
4/3/20,4.4
4/10/20,4.4
4/17/20,4.4
4/24/20,4.4
5/1/20,4.4
5/8/20,4.4
5/15/20,4.4
5/22/20,4
5/29/20,4
6/5/20,4
6/12/20,4
6/19/20,4
6/26/20,4
7/3/20,4
7/10/20,4
7/17/20,4
7/24/20,4
7/31/20,4
8/7/20,4
8/14/20,4
8/21/20,4
8/28/20,4
9/4/20,4
9/11/20,4
9/18/20,4
9/25/20,4
10/2/20,4
10/9/20,4
10/16/20,4
10/23/20,4
10/30/20,4
11/6/20,4
11/13/20,4
11/20/20,4
11/27/20,4
12/4/20,4
12/11/20,4
12/18/20,4
12/25/20,4
1/1/21,4
1/8/21,4
1/15/21,4
1/22/21,4
1/29/21,4
2/5/21,4
2/12/21,4
2/19/21,4
2/26/21,4
3/5/21,4
3/12/21,4
3/19/21,4
3/26/21,4
4/2/21,4
4/9/21,4
4/16/21,4
4/23/21,4
4/30/21,4
5/1/21,4
5/7/21,4
5/14/21,4
5/21/21,4
5/28/21,4
6/4/21,4
6/11/21,4
6/18/21,4
6/25/21,4
7/2/21,4
7/9/21,4
7/16/21,4
7/23/21,4
7/30/21,4
8/6/21,4
8/13/21,4
8/20/21,4
8/27/21,4
9/3/21,4
9/10/21,4
9/17/21,4
9/24/21,4
10/1/21,4
10/8/21,4
10/15/21,4
