Date, Open, High, Low, Close
4/16/25,85.73,85.76,85.53,85.62
4/15/25,86.04,86.05,85.67,85.73
4/14/25,86.08,86.2,85.93,86.04
4/11/25,86.28,86.29,85.98,86.08
4/10/25,86.18,86.42,86.1,86.28
4/9/25,86.43,86.9,85.77,86.18
4/8/25,86,86.45,85.83,86.44
4/7/25,85.53,86.08,85.53,86
4/4/25,85.28,85.64,84.99,85.53
4/3/25,85.69,86.06,85.2,85.28
4/2/25,85.59,85.72,85.35,85.69
4/1/25,85.43,85.75,85.43,85.59
3/31/25,85.54,85.54,85.4,85.43
3/28/25,85.68,85.72,85.42,85.54
3/27/25,85.7,86.12,85.62,85.68
3/26/25,85.58,85.87,85.56,85.72
3/25/25,85.52,85.83,85.52,85.58
3/24/25,85.99,86.05,85.5,85.52
3/21/25,86.32,86.34,85.94,85.99
3/20/25,86.31,86.6,86.23,86.32
3/19/25,86.57,86.67,86.27,86.31
3/18/25,86.66,86.92,86.5,86.57
3/17/25,86.95,86.97,86.61,86.66
3/14/25,86.93,87.05,86.87,86.94
3/13/25,87.13,87.26,86.92,86.93
3/12/25,87.13,87.45,87.12,87.16
3/11/25,87.33,87.4,87.13,87.14
3/10/25,87.15,87.37,86.88,87.33
3/7/25,87.15,87.21,86.88,87.15
3/6/25,86.86,87.16,86.84,87.15
3/5/25,87.21,87.35,86.79,86.86
3/4/25,87.35,87.41,87.13,87.21
3/3/25,87.47,87.47,87.24,87.35
2/28/25,87.33,87.53,87.3,87.47
2/27/25,87.19,87.42,87.1,87.33
2/26/25,87.07,87.2,87.07,87.19
2/25/25,86.67,87.23,86.67,87.07
2/24/25,86.65,86.75,86.49,86.65
2/21/25,86.47,86.77,86.46,86.65
2/20/25,86.88,86.91,86.46,86.47
2/19/25,86.9,86.96,86.84,86.88
2/18/25,86.85,86.98,86.85,86.9
2/17/25,86.67,86.91,86.64,86.85
2/14/25,86.59,86.89,86.55,86.67
2/13/25,86.98,87.01,86.54,86.65
2/12/25,86.8,87.06,86.29,86.98
2/11/25,87.47,87.6,86.66,86.79
2/10/25,87.79,88.1,87.44,87.47
2/7/25,87.58,87.85,87.33,87.79
2/6/25,87.34,87.68,87.33,87.58
2/5/25,87.1,87.5,87.08,87.34
2/4/25,86.97,87.29,86.92,87.1
2/3/25,86.7,87.22,86.7,86.91
1/31/25,86.67,86.81,86.35,86.7
