Date,WPI
4/1/12,104.7
5/1/12,105.3
6/1/12,105.3
7/1/12,106.2
8/1/12,106.9
9/1/12,107.6
10/1/12,107.4
11/1/12,107.3
12/1/12,107.1
1/1/13,108
2/1/13,108.4
3/1/13,108.6
4/1/13,108.6
5/1/13,108.6
6/1/13,110.1
7/1/13,111.2
8/1/13,112.9
9/1/13,114.3
10/1/13,114.6
11/1/13,114.3
12/1/13,113.4
1/1/14,113.6
2/1/14,113.6
3/1/14,114.3
4/1/14,114.1
5/1/14,114.8
6/1/14,115.2
7/1/14,116.7
8/1/14,117.2
9/1/14,116.4
10/1/14,115.6
11/1/14,114.1
12/1/14,112.1
1/1/15,110.8
2/1/15,109.6
3/1/15,109.9
4/1/15,110.2
5/1/15,111.4
6/1/15,111.8
7/1/15,111.1
8/1/15,110
9/1/15,109.9
10/1/15,110.1
11/1/15,109.9
12/1/15,109.4
1/1/16,108
2/1/16,107.1
3/1/16,107.7
4/1/16,109
5/1/16,110.4
6/1/16,111.7
7/1/16,111.8
8/1/16,111.2
9/1/16,111.4
10/1/16,111.5
11/1/16,111.9
12/1/16,111.7
1/1/17,112.6
2/1/17,113
3/1/17,113.2
4/1/17,113.2
5/1/17,112.9
6/1/17,112.7
7/1/17,113.9
8/1/17,114.8
9/1/17,114.9
10/1/17,115.6
11/1/17,116.4
12/1/17,115.7
1/1/18,116
2/1/18,116.1
3/1/18,116.3
4/1/18,117.3
5/1/18,118.3
6/1/18,119.1
7/1/18,119.9
8/1/18,120.1
9/1/18,120.9
10/1/18,122
11/1/18,121.6
12/1/18,119.7
1/1/19,119.2
2/1/19,119.5
3/1/19,119.9
4/1/19,121.1
5/1/19,121.6
6/1/19,121.5
7/1/19,121.3
8/1/19,121.5
9/1/19,121.3
10/1/19,122
11/1/19,122.3
12/1/19,123
1/1/20,123.4
2/1/20,122.2
3/1/20,120.4
4/1/20,119.2
5/1/20,117.5
6/1/20,119.3
7/1/20,121
8/1/20,122
9/1/20,122.9
10/1/20,123.6
11/1/20,125.1
12/1/20,125.4
1/1/21,126.5
2/1/21,128.1
3/1/21,129.9
4/1/21,132
5/1/21,132.9
6/1/21,133.7
7/1/21,135
8/1/21,136.2
9/1/21,137.4
10/1/21,140.7
11/1/21,143.7
12/1/21,143.3
1/1/22,143.8
2/1/22,145.3
3/1/22,148.9
4/1/22,152.3
5/1/22,155
6/1/22,155.4
7/1/22,154
8/1/22,153.2
9/1/22,151.9
10/1/22,152.9
11/1/22,152.5
12/1/22,150.5
1/1/23,150.7
2/1/23,150.9
3/1/23,151
4/1/23,151.1
5/1/23,149.4
6/1/23,148.9
7/1/23,152.1
8/1/23,152.5
9/1/23,151.8
10/1/23,152.5
11/1/23,153.1
12/1/23,151.8
1/1/24,151.2
2/1/24,151.2
3/1/24,151.4
4/1/24,152.9
5/1/24,153.5
6/1/24,154
7/1/24,155.3
8/1/24,154.4
9/1/24,154.7
10/1/24,156.7
11/1/24,156.4
12/1/24,155.7
1/1/25,155
2/1/25,154.8
3/1/25,154.5
